"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV39760 - Image
11/22/2020 22:18:48
http://10.37.248.147/dr/202011/20201122/4___07W/0074___07WW2020112222184800SV_02.jpg
 07W - CBB
OPEN
$37.50
$25.00
$0.00
$62.50","
 HV17323 - Image
11/22/2020 19:08:47
http://10.37.248.147/dr/202011/20201122/4___07W/0074___07WW2020112219084700SV_02.jpg
 07W - CBB
OPEN
$37.50
$25.00
$0.00
$62.50"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV21020 - Image
11/17/2020 04:25:25
http://10.37.248.147/njta/202011/20201117/013_08w/013013_08wW2020111704252579SV_02.jpg
 08w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV45231 - Image
11/17/2020 03:15:10
http://10.37.248.147/njta/202011/20201117/012_11w/013012_11wW2020111703151077SV_02.jpg
 11w - 12 
OPEN
$15.55
$50.00
$0.00
$65.55","
 HV37753 - Image
11/17/2020 02:50:56
http://10.37.248.147/njta/202011/20201117/18W_08w/01318W_08wW2020111702505668SV_02.jpg
 08w - 18W
OPEN
$21.20
$50.00
$0.00
$71.20","
 HV44047 - Image
11/17/2020 02:46:36
http://10.37.248.147/njta/202011/20201117/16W_07w/01316W_07wW2020111702463652SV_02.jpg
 07w - 16W
OPEN
$18.20
$50.00
$0.00
$68.20","
 HV38604 - Image
11/17/2020 01:37:54
http://10.37.248.147/njta/202011/20201117/012_11w/013012_11wW2020111701375448SV_02.jpg
 11w - 12 
OPEN
$7.70
$50.00
$0.00
$57.70","
 HV19587 - Image
11/17/2020 00:59:13
http://10.37.248.147/njta/202011/20201117/18W_09w/01318W_09wW2020111700591396SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV20489 - Image
11/17/2020 02:51:25

 11w - 14A
OPEN
$40.20
$50.00
$0.00
$90.20","
 HV40686 - Image
11/17/2020 02:16:52
http://10.37.248.147/njta/202011/20201117/002_05w/013002_05wW2020111702165200SV_02.jpg
 05w - 2  
OPEN
$30.85
$50.00
$0.00
$80.85","
 HV19805 - Image
11/17/2020 01:54:54
http://10.37.248.147/njta/202011/20201117/008_03w/013008_03wW2020111701545407SV_02.jpg
 03w - 8  
OPEN
$10.05
$50.00
$0.00
$60.05","
 HV43141 - Image
11/17/2020 01:51:31
http://10.37.248.147/njta/202011/20201117/012_14w/013012_14wW2020111701513133SV_02.jpg
 14w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV45787 - Image
11/17/2020 00:20:06
http://10.37.248.147/njta/202011/20201117/07A_13w/01307A_13wW2020111700200641SV_02.jpg
 13w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV45844 - Image
11/17/2020 01:01:57
http://10.37.248.147/drba/202011/20201117/DMB_11_/016DMB_11_W2020111701015700SV_02.jpg
 11 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV40714 - Image
11/16/2020 23:35:13
http://10.37.248.147/njta/202011/20201116/18W_09w/01318W_09wW2020111623351367SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV38052 - Image
11/16/2020 22:57:18
http://10.37.248.147/njta/202011/20201116/010_06w/013010_06wW2020111622571898SV_02.jpg
 06w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV20754 - Image
11/16/2020 22:18:54
http://10.37.248.147/njta/202011/20201116/013_08w/013013_08wW2020111622185469SV_02.jpg
 08w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV36778 - Image
11/16/2020 23:17:08
http://10.37.248.147/njta/202011/20201116/006_07w/013006_07wW2020111623170828SV_02.jpg
 07w - 6  
OPEN
$26.10
$50.00
$0.00
$76.10"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV44903 - Image
11/16/2020 22:54:30
http://10.37.248.147/njta/202011/20201116/012_14w/013012_14wW2020111622543066SV_02.jpg
 14w - 12 
OPEN
$14.90
$50.00
$0.00
$64.90"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV39994 - Image
11/16/2020 21:53:57

 09w - 8A 
OPEN
$43.05
$50.00
$0.00
$93.05","
 HV02150 - Image
11/16/2020 21:17:52
http://10.37.248.147/njta/202011/20201116/001_15w/013001_15wW2020111621175220SV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV38724 - Image
11/16/2020 21:09:09
http://10.37.248.147/njta/202011/20201116/001_15w/013001_15wW2020111621090950SV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV01573 - Image
11/16/2020 21:04:58
http://10.37.248.147/njta/202011/20201116/001_15w/013001_15wW2020111621045877SV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV43867 - Image
11/16/2020 20:48:02
http://10.37.248.147/njta/202011/20201116/013_04w/013013_04wW2020111620480281SV_02.jpg
 04w - 13 
OPEN
$1.20
$50.00
$0.00
$51.20"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV02150 - Image
11/16/2020 21:24:06
http://10.37.248.147/drba/202011/20201116/DMB_04_/016DMB_04_W2020111621240600SV_02.jpg
 04 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV40096 - Image
11/16/2020 18:25:03
http://10.37.248.147/drba/202011/20201116/DMB_04_/016DMB_04_W2020111618250300SV_02.jpg
 04 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV21069 - Image
11/16/2020 11:45:30
http://10.37.248.147/drba/202011/20201116/DMB_11_/016DMB_11_W2020111611453000SV_02.jpg
 11 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV43068 - Image
11/16/2020 04:05:04
http://10.37.248.147/drba/202011/20201116/DMB_10_/016DMB_10_W2020111604050400SV_02.jpg
 10 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV43331 - Image
11/16/2020 00:58:11
http://10.37.248.147/drba/202011/20201116/DMB_04_/016DMB_04_W2020111600581100SV_02.jpg
 04 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV38724 - Image
11/16/2020 21:14:34
http://10.37.248.147/drba/202011/20201116/DMB_11_/016DMB_11_W2020111621143400SV_02.jpg
 11 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV01573 - Image
11/16/2020 21:11:26
http://10.37.248.147/drba/202011/20201116/DMB_11_/016DMB_11_W2020111621112600SV_02.jpg
 11 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV36876 - Image
11/16/2020 20:08:45
http://10.37.248.147/njta/202011/20201116/18W_09w/01318W_09wW2020111620084510SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV20532 - Image
11/16/2020 19:50:27
http://10.37.248.147/njta/202011/20201116/07A_12w/01307A_12wW2020111619502760SV_02.jpg
 12w - 7A 
OPEN
$11.40
$50.00
$0.00
$61.40","
 HV20532 - Image
11/16/2020 18:50:53
http://10.37.248.147/njta/202011/20201116/009_15w/013009_15wW2020111618505347SV_02.jpg
 15w - 9  
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV17853 - Image
11/16/2020 18:05:35
http://10.37.248.147/njta/202011/20201116/012_11w/013012_11wW2020111618053543SV_02.jpg
 11w - 12 
OPEN
$2.90
$50.00
$0.00
$52.90","
 HV45787 - Image
11/16/2020 16:25:40
http://10.37.248.147/njta/202011/20201116/012_11w/013012_11wW2020111616254008SV_02.jpg
 11w - 12 
OPEN
$1.65
$50.00
$0.00
$51.65"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV45619 - Image
11/16/2020 19:38:30

 09w - 8A 
OPEN
$17.50
$50.00
$0.00
$67.50","
 HV19986 - Image
11/16/2020 19:15:42
http://10.37.248.147/njta/202011/20201116/004_07w/013004_07wW2020111619154244SV_02.jpg
 07w - 4  
OPEN
$29.45
$50.00
$0.00
$79.45","
 HV17821 - Image
11/16/2020 16:39:40
http://10.37.248.147/njta/202011/20201116/18W_08w/01318W_08wW2020111616394025SV_02.jpg
 08w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV19952 - Image
11/16/2020 14:02:24
http://10.37.248.147/njta/202011/20201116/013_11w/013013_11wW2020111614022417SV_02.jpg
 11w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV20217 - Image
11/16/2020 14:00:08
http://10.37.248.147/njta/202011/20201116/006_07w/013006_07wW2020111614000800SV_02.jpg
 07w - 6  
OPEN
$26.10
$50.00
$0.00
$76.10"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV19986 - Image
11/16/2020 19:27:10
http://10.37.248.147/dr/202011/20201116/1___10W/0071___10WW2020111619271000SV_02.jpg
 10W - BRB
OPEN
$37.50
$25.00
$0.00
$62.50","
 HV19662 - Image
11/16/2020 07:08:15
http://10.37.248.147/dr/202011/20201116/4___07W/0074___07WW2020111607081500SV_02.jpg
 07W - CBB
OPEN
$30.00
$25.00
$0.00
$55.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV19804 - Image
11/16/2020 18:20:14
http://10.37.248.147/drjt/202011/20201116/ODW_21W/020ODW_21WN2020111618201439SV_02.jpg
 21W - ODW
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV45027 - Image
11/16/2020 03:13:41
http://10.37.248.147/drjt/202011/20201116/O78_11W/020O78_11WN2020111603134127SV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV17441 - Image
11/16/2020 14:58:00
http://10.37.248.147/njta/202011/20201116/012_13w/013012_13wW2020111614580025SV_02.jpg
 13w - 12 
OPEN
$7.70
$50.00
$0.00
$57.70","
 HV20395 - Image
11/16/2020 14:23:14
http://10.37.248.147/njta/202011/20201116/005_04w/013005_04wW2020111614231480SV_02.jpg
 04w - 5  
OPEN
$18.20
$50.00
$0.00
$68.20","
 HV17853 - Image
11/16/2020 13:49:53
http://10.37.248.147/njta/202011/20201116/013_08w/013013_08wW2020111613495399SV_02.jpg
 08w - 13 
OPEN
$3.75
$50.00
$0.00
$53.75","
 HV37819 - Image
11/16/2020 13:00:54
http://10.37.248.147/njta/202011/20201116/010_06w/013010_06wW2020111613005463SV_02.jpg
 06w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV36876 - Image
11/16/2020 11:10:36
http://10.37.248.147/njta/202011/20201116/001_15w/013001_15wW2020111611103638SV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV37819 - Image
11/16/2020 13:51:28
http://10.37.248.147/drjt/202011/20201116/O78_11W/020O78_11WN2020111613512835SV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV36778 - Image
11/16/2020 12:29:16
http://10.37.248.147/njta/202011/20201116/006_07w/013006_07wW2020111612291630SV_02.jpg
 07w - 6  
OPEN
$26.10
$50.00
$0.00
$76.10","
 HV20794 - Image
11/16/2020 10:20:01
http://10.37.248.147/njta/202011/20201116/07A_10w/01307A_10wW2020111610200121SV_02.jpg
 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV45619 - Image
11/16/2020 09:30:06
http://10.37.248.147/njta/202011/20201116/13A_21w/01313A_21wW2020111609300694SV_02.jpg
 21w - 13A
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV45837 - Image
11/16/2020 08:31:53
http://10.37.248.147/njta/202011/20201116/013_08w/013013_08wW2020111608315333SV_02.jpg
 08w - 13 
OPEN
$1.65
$50.00
$0.00
$51.65","
 HV43539 - Image
11/16/2020 04:39:39
http://10.37.248.147/njta/202011/20201116/008_03w/013008_03wW2020111604393904SV_02.jpg
 03w - 8  
OPEN
$14.15
$50.00
$0.00
$64.15"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV38672 - Image
11/16/2020 11:44:51
http://10.37.248.147/njta/202011/20201116/005_04w/013005_04wW2020111611445134SV_02.jpg
 04w - 5  
OPEN
$18.20
$50.00
$0.00
$68.20","
 HV37330 - Image
11/16/2020 10:25:41
http://10.37.248.147/njta/202011/20201116/07A_13w/01307A_13wW2020111610254122SV_02.jpg
 13w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV44553 - Image
11/16/2020 10:54:12
http://10.37.248.147/njta/202011/20201116/18W_09w/01318W_09wW2020111610541260SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV38046 - Image
11/16/2020 10:48:01
http://10.37.248.147/njta/202011/20201116/19W_01s/01319W_01sS2020111610480154SV_02.jpg
 01s - 19W
OPEN
$5.60
$50.00
$0.00
$55.60","
 HV38046 - Image
11/16/2020 06:14:40
http://10.37.248.147/njta/202011/20201116/07A_10w/01307A_10wW2020111606144016SV_02.jpg
 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV37340 - Image
11/16/2020 00:45:59
http://10.37.248.147/njta/202011/20201116/19W_01s/01319W_01sS2020111600455937SV_02.jpg
 01s - 19W
OPEN
$5.60
$50.00
$0.00
$55.60","
 HV37340 - Image
11/16/2020 00:06:22
http://10.37.248.147/njta/202011/20201116/18W_09w/01318W_09wW2020111600062270SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV36876 - Image
11/16/2020 05:23:58
http://10.37.248.147/njta/202011/20201116/013_03w/013013_03wW2020111605235875SV_02.jpg
 03w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV01573 - Image
11/16/2020 04:59:57
http://10.37.248.147/njta/202011/20201116/012_14w/013012_14wW2020111604595710SV_02.jpg
 14w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV20532 - Image
11/16/2020 04:53:10
http://10.37.248.147/njta/202011/20201116/012_16w/013012_16wW2020111604531028SV_02.jpg
 16w - 12 
OPEN
$7.70
$50.00
$0.00
$57.70","
 HV43302 - Image
11/16/2020 04:07:34
http://10.37.248.147/njta/202011/20201116/18W_09w/01318W_09wW2020111604073440SV_02.jpg
 09w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV37104 - Image
11/16/2020 04:04:26
http://10.37.248.147/njta/202011/20201116/013_04w/013013_04wW2020111604042627SV_02.jpg
 04w - 13 
OPEN
$14.15
$50.00
$0.00
$64.15"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV20756 - Image
11/16/2020 04:33:36
http://10.37.248.147/njta/202011/20201116/07A_13w/01307A_13wW2020111604333693SV_02.jpg
 13w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV37677 - Image
11/16/2020 03:52:41
http://10.37.248.147/njta/202011/20201116/18W_08w/01318W_08wW2020111603524116SV_02.jpg
 08w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV44135 - Image
11/16/2020 03:13:55
http://10.37.248.147/njta/202011/20201116/012_10w/013012_10wW2020111603135541SV_02.jpg
 10w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV19779 - Image
11/16/2020 02:07:38
http://10.37.248.147/njta/202011/20201116/001_15w/013001_15wW2020111602073859SV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV19779 - Image
11/16/2020 01:07:16
http://10.37.248.147/njta/202011/20201116/07A_10w/01307A_10wW2020111601071629SV_02.jpg
 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV43068 - Image
11/16/2020 03:58:58
http://10.37.248.147/njta/202011/20201116/001_15w/013001_15wW2020111603585879SV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV37330 - Image
11/16/2020 02:35:58
http://10.37.248.147/njta/202011/20201116/012_10w/013012_10wW2020111602355859SV_02.jpg
 10w - 12 
OPEN
$44.00
$50.00
$0.00
$94.00","
 HV43533 - Image
11/16/2020 01:08:08
http://10.37.248.147/njta/202011/20201116/15W_12w/01315W_12wW2020111601080885SV_02.jpg
 12w - 15W
OPEN
$11.40
$50.00
$0.00
$61.40","
 HV44664 - Image
11/16/2020 00:17:35
http://10.37.248.147/njta/202011/20201116/16W_13w/01316W_13wW2020111600173521SV_02.jpg
 13w - 16W
OPEN
$18.20
$50.00
$0.00
$68.20","
 HV39085 - Image
11/16/2020 00:00:44
http://10.37.248.147/njta/202011/20201116/012_10w/013012_10wW2020111600004459SV_02.jpg
 10w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV43302 - Image
11/15/2020 23:33:35
http://10.37.248.147/njta/202011/20201115/011_20w/013011_20wW2020111523333549SV_02.jpg
 20w - 11 
OPEN
$19.40
$50.00
$0.00
$69.40","
 HV40693 - Image
11/15/2020 21:43:15
http://10.37.248.147/njta/202011/20201115/013_08w/013013_08wW2020111521431507SV_02.jpg
 08w - 13 
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV20111 - Image
11/15/2020 19:58:11
http://10.37.248.147/njta/202011/20201115/006_07w/013006_07wW2020111519581195SV_02.jpg
 07w - 6  
OPEN
$30.20
$50.00
$0.00
$80.20","
 HV43123 - Image
11/15/2020 15:41:50
http://10.37.248.147/njta/202011/20201115/001_15w/013001_15wW2020111515415014SV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV20622 - Image
11/15/2020 22:58:06
http://10.37.248.147/njta/202011/20201115/06A_01s/01306A_01sS2020111522580601SV_02.jpg
 01s - 6A 
OPEN
$7.40
$50.00
$0.00
$57.40","
 HV40138 - Image
11/15/2020 22:23:01
http://10.37.248.147/njta/202011/20201115/008_02w/013008_02wW2020111522230143SV_02.jpg
 02w - 8  
OPEN
$14.15
$50.00
$0.00
$64.15","
 HV44949 - Image
11/15/2020 20:50:41
http://10.37.248.147/njta/202011/20201115/18W_08w/01318W_08wW2020111520504124SV_02.jpg
 08w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV40714 - Image
11/15/2020 22:23:37
http://10.37.248.147/njta/202011/20201115/18W_08w/01318W_08wW2020111522233752SV_02.jpg
 08w - 18W
OPEN
$33.95
$50.00
$0.00
$83.95","
 HV38697 - Image
11/15/2020 22:19:22
http://10.37.248.147/njta/202011/20201115/012_10w/013012_10wW2020111522192271SV_02.jpg
 10w - 12 
OPEN
$17.80
$50.00
$0.00
$67.80","
 HV44664 - Image
11/15/2020 17:59:03
http://10.37.248.147/njta/202011/20201115/012_11w/013012_11wW2020111517590320SV_02.jpg
 11w - 12 
OPEN
$7.70
$50.00
$0.00
$57.70","
 HV39370 - Image
11/15/2020 16:31:53
http://10.37.248.147/njta/202011/20201115/08A_09w/01308A_09wW2020111516315353SV_02.jpg
 09w - 8A 
OPEN
$17.50
$50.00
$0.00
$67.50"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV36366 - Image
11/15/2020 22:06:57
http://10.37.248.147/drba/202011/20201115/DMB_07_/016DMB_07_W2020111522065700SV_02.jpg
 07 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV43123 - Image
11/15/2020 15:47:21
http://10.37.248.147/drba/202011/20201115/DMB_11_/016DMB_11_W2020111515472100SV_02.jpg
 11 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV38235 - Image
11/15/2020 11:32:12
http://10.37.248.147/drba/202011/20201115/DMB_11_/016DMB_11_W2020111511321200SV_02.jpg
 11 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV45283 - Image
11/15/2020 08:08:46
http://10.37.248.147/drba/202011/20201115/DMB_11_/016DMB_11_W2020111508084600SV_02.jpg
 11 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV20668 - Image
11/15/2020 20:06:39
http://10.37.248.147/njta/202011/20201115/007_02w/013007_02wW2020111520063949SV_02.jpg
 02w - 7  
OPEN
$25.55
$50.00
$0.00
$75.55","
 HV36695 - Image
11/15/2020 19:39:58
http://10.37.248.147/njta/202011/20201115/004_06w/013004_06wW2020111519395884SV_02.jpg
 06w - 4  
OPEN
$29.45
$50.00
$0.00
$79.45","
 HV44663 - Image
11/15/2020 17:36:38

 07w - 3  
OPEN
$25.55
$50.00
$0.00
$75.55","
 HV45873 - Image
11/15/2020 17:04:57
http://10.37.248.147/njta/202011/20201115/010_06w/013010_06wW2020111517045726SV_02.jpg
 06w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV20756 - Image
11/15/2020 16:19:39
http://10.37.248.147/njta/202011/20201115/06A_01s/01306A_01sS2020111516193920SV_02.jpg
 01s - 6A 
OPEN
$7.40
$50.00
$0.00
$57.40"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV20523 - Image
11/15/2020 16:22:46
http://10.37.248.147/drba/202011/20201115/DMB_11_/016DMB_11_W2020111516224600SV_02.jpg
 11 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV36977 - Image
11/15/2020 13:04:04
http://10.37.248.147/drba/202011/20201115/DMB_04_/016DMB_04_W2020111513040400SV_02.jpg
 04 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV14959 - Image
11/15/2020 08:37:33
http://10.37.248.147/drba/202011/20201115/DMB_11_/016DMB_11_W2020111508373300SV_02.jpg
 11 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00","
 HV43699 - Image
11/15/2020 02:03:37
http://10.37.248.147/drba/202011/20201115/DMB_03_/016DMB_03_W2020111502033700SV_02.jpg
 03 - DMB
OPEN
$35.00
$25.00
$0.00
$60.00"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV43697 - Image
11/15/2020 16:16:25

 10w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV43697 - Image
11/15/2020 16:02:09

 05w - 7  
OPEN
$25.55
$50.00
$0.00
$75.55","
 HV36977 - Image
11/15/2020 12:58:29
http://10.37.248.147/njta/202011/20201115/001_15w/013001_15wW2020111512582990SV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV44663 - Image
11/15/2020 11:37:59
http://10.37.248.147/njta/202011/20201115/010_04w/013010_04wW2020111511375971SV_02.jpg
 04w - 10 
OPEN
$11.75
$50.00
$0.00
$61.75","
 HV43111 - Image
11/15/2020 11:10:03
http://10.37.248.147/njta/202011/20201115/15W_07w/01315W_07wW2020111511100375SV_02.jpg
 07w - 15W
OPEN
$11.40
$50.00
$0.00
$61.40"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV40381 - Image
11/15/2020 13:24:21
http://10.37.248.147/njta/202011/20201115/002_05w/013002_05wW2020111513242184SV_02.jpg
 05w - 2  
OPEN
$30.85
$50.00
$0.00
$80.85","
 HV39835 - Image
11/15/2020 13:13:44
http://10.37.248.147/njta/202011/20201115/18W_08w/01318W_08wW2020111513134402SV_02.jpg
 08w - 18W
OPEN
$21.20
$50.00
$0.00
$71.20","
 HV38235 - Image
11/15/2020 11:26:39
http://10.37.248.147/njta/202011/20201115/001_15w/013001_15wW2020111511263943SV_02.jpg
 15w - 1  
OPEN
$48.35
$50.00
$0.00
$98.35","
 HV25391 - Image
11/15/2020 10:12:17
http://10.37.248.147/njta/202011/20201115/07A_13w/01307A_13wW2020111510121779SV_02.jpg
 13w - 7A 
OPEN
$23.00
$50.00
$0.00
$73.00","
 HV39835 - Image
11/15/2020 07:39:19
http://10.37.248.147/njta/202011/20201115/010_09w/013010_09wW2020111507391939SV_02.jpg
 09w - 10 
OPEN
$10.95
$50.00
$0.00
$60.95"
"
License Plate Number
Date & Time
Facility(Roadway or Bridge)
Interchange# - Toll Plaza
Status*
Toll
Fee
NSF Fee
Amt Due","
 HV43111 - Image
11/15/2020 12:42:25
http://10.37.248.147/drjt/202011/20201115/ODW_21W/020ODW_21WN2020111512422590SV_02.jpg
 21W - ODW
OPEN
$20.00
$30.00
$0.00
$50.00","
 HV38058 - Image
11/15/2020 08:44:39
http://10.37.248.147/drjt/202011/20201115/O78_11W/020O78_11WN2020111508443925SV_02.jpg
 11W - O78
OPEN
$20.00
$30.00
$0.00
$50.00"
